,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,5002.0,28.31,10.09,38.4,1.32,7.64,2.94,343.0,45.0,38.4,0.74,437.0,9.629251701,1.69
1,2127.0,0.2,8.5,8.7,0.37,22.97,1.58,537.63,23.4,8.7,0.02,420.0,0.127,0.4
2,3000.0,0.08,1.33,1.41,0.34,3.911764706,0.56,238.35,60.93,0.06,1.41,431.0,0.14300000000000002,0.6
3,4696.0,20.3,10.16,30.46,1.72,5.91,2.18,466.0,79.0,30.5,0.67,431.0,9.311926606,0.598
4,3045.0,0.08,0.78,0.86,0.6,1.3,0.64,121.31,93.31,0.86,0.09,434.0,0.125,0.65
5,2742.0,0.1,1.27,1.37,0.56,2.27,0.51,248.53,109.59,1.37,0.07,428.0,0.196,0.54
6,3858.0,0.06,0.1,0.5,0.12,0.833333333,50.0,0.2,0.24,0.4,0.375,411.0,0.0012,0.24
7,2034.0,0.13,5.43,5.56,0.44,12.34090909,1.6,340.44,27.59,0.02,5.56,423.0,0.081,0.45
8,4163.0,0.71,1.56,0.73,0.97,1.6082474230000001,151.0,1.0331125829999999,0.6423841060000001,0.54,0.31277533,421.0,0.004701987,0.43
9,1673.0,0.2,13.06,13.26,0.67,19.5,3.46,377.79,19.38,13.26,0.02,422.0,0.057999999999999996,0.44
10,4822.0,30.87,9.36,40.23,1.28,7.31,3.41,274.0,38.0,40.2,0.77,430.0,9.052785924,1.11
11,3803.0,0.06,0.09,0.46,0.13,0.692307692,50.0,0.18,0.26,0.6,0.4,409.0,0.0012,0.21
12,1968.0,0.14,6.02,6.16,0.77,7.818701299,1.45,414.34,52.99,0.02,6.16,422.0,0.09699999999999999,0.44
13,2586.0,0.11,1.09,1.2,0.43,2.534883721,0.53,207.62,81.9,0.09,1.2,424.0,0.20800000000000002,0.47
14,2811.0,0.09,1.96,2.05,0.34,5.76,0.71,277.62,48.16,2.05,0.04,430.0,0.127,0.58
15,3278.0,0.02,0.04,0.06,0.18,0.222222222,0.38,10.52631579,47.36842105,0.1,0.333333333,316.0,0.052631579000000005,1.47
16,2685.0,0.12,1.41,1.53,0.47,3.0215053760000004,0.59,236.73,78.35,0.08,1.53,428.5,0.203,0.55
17,2943.0,0.08,1.16,1.24,0.36,3.222222222,0.51,228.8,71.01,0.06,1.24,431.0,0.157,0.6
18,1845.0,0.23,19.52,19.75,0.6,32.53733333,4.04,483.23,14.85,0.01,19.75,417.0,0.057,0.35
19,5068.0,30.72,6.15,36.87,0.83,7.41,1.8,342.0,46.0,36.9,0.83,433.0,17.06666667,0.634
20,1790.0,0.23,16.64,16.87,0.64,26.0,3.94,422.73,16.26,16.87,0.01,417.0,0.057999999999999996,0.35
21,5014.0,28.86,7.19,36.05,1.01,7.12,1.59,452.0,64.0,36.0,0.8,433.0,18.1509434,0.634
22,3651.0,0.02,0.03,0.05,0.28,0.11,0.01,300.0,2800.0,0.1,0.4,328.0,2.0,-1.256
23,4192.0,8.54,12.98,0.92,9.28,1.3987068969999998,130.0,9.984615385,7.138461538,0.34,0.396840149,423.0,0.065692308,0.46
24,3710.0,0.24,4.21,4.45,0.75,5.61,1.35,311.85,55.56,4.45,0.05,433.0,0.17777778100000002,0.63
25,2712.0,0.1,1.62,1.72,0.44,3.6818181819999998,0.68,238.24,64.71,0.06,1.72,429.0,0.147,0.56
26,3003.0,0.08,2.08,2.16,0.31,6.709677419,0.89,234.5,34.95,0.04,2.16,431.0,0.09,0.6
27,1730.0,0.22,15.25,15.47,0.73,20.89534247,3.87,394.66,18.89,0.01,15.47,421.0,0.057,0.42
28,3767.0,0.03,0.08,0.11,0.66,0.12,0.13,62.0,508.0,0.1,0.33,415.0,0.23076923100000002,0.31
29,4666.0,18.73,7.92,26.65,1.58,5.01,1.77,447.0,89.0,26.6,0.7,436.0,10.5819209,0.688
30,1980.0,0.15,5.94,6.09,0.44,13.50477273,1.58,376.56,27.88,0.02,6.09,417.0,0.095,0.35
31,4062.0,2.3,1.4,3.7,0.89,1.57,0.81,173.0,110.0,3.7,0.62,416.0,2.839506173,0.32799999999999996
32,2730.0,0.12,1.59,1.71,0.62,2.56,0.65,245.75,95.83,1.71,0.07,428.0,0.185,0.54
33,4200.0,5.93,10.32,0.96,6.18,1.669902913,141.0,7.319148936,4.382978723,0.43,0.36492307700000004,424.0,0.042056737999999996,0.48
34,2724.0,0.15,2.43,2.58,0.63,3.857142857,0.93,261.85,67.89,0.06,2.58,428.0,0.161,0.54
35,1920.0,0.16,9.45,9.61,0.44,21.47,1.78,530.2,24.69,9.61,0.02,416.0,0.09,0.33
36,1878.0,0.13,4.41,4.54,0.48,9.18,1.44,307.09,33.45,4.54,0.03,419.0,0.09,0.38
37,3344.0,0.09,0.24,0.33,0.45,0.53,0.56,43.0,80.0,0.3,0.27,429.0,0.16071428599999998,0.562
38,3750.0,0.33,1.82,2.15,0.46,3.96,0.82,221.14,55.89,2.15,0.15,438.0,0.400171726,0.72
39,2679.0,0.12,1.27,1.39,0.34,3.735294118,0.53,238.72,63.91,0.09,1.39,429.0,0.226,0.56
40,4032.0,0.36,1.04,0.78,0.46,2.260869565,95.0,1.094736842,0.48421052600000003,0.65,0.257142857,417.0,0.003789474,0.35
41,2718.0,0.1,2.37,2.47,0.23,10.3,1.1,216.04,20.97,2.47,0.04,430.0,0.091,0.58
42,1710.0,0.14,15.73,15.87,0.85,18.51,4.07,386.96,20.91,15.87,0.01,421.0,0.034,0.42
43,1884.0,0.14,7.46,7.6,0.51,14.62980392,1.64,453.84,31.02,0.02,7.6,419.0,0.085,0.38
44,4084.0,1.12,3.4,0.87,1.29,2.635658915,156.0,2.179487179,0.826923077,0.67,0.24778761100000002,419.0,0.007179486999999999,0.37
45,2115.0,0.11,8.9,9.01,0.39,22.82051282,1.71,521.69,22.86,0.01,9.01,418.0,0.064,0.36
46,4537.0,17.97,4.77,22.74,1.15,4.15,1.3,367.0,88.0,22.7,0.79,437.0,13.82307692,0.706
47,1929.0,0.18,11.79,11.97,0.54,21.83055556,2.19,538.78,24.68,0.02,11.97,418.0,0.08199999999999999,0.36
48,2712.0,0.1,1.62,1.72,0.44,3.68,0.68,238.24,64.71,1.72,0.06,429.0,0.147,0.56
49,2955.0,0.1,1.6,1.7,0.35,4.57,0.63,255.18,55.82,1.7,0.06,429.0,0.159,0.56
50,5086.0,37.49,6.21,43.7,0.98,6.34,2.1,296.0,47.0,43.7,0.86,431.0,17.85238095,0.598
51,1833.0,0.15,11.55,11.7,0.7,16.5,2.77,416.37,25.23,0.01,11.7,422.0,0.054000000000000006,0.44
52,2985.0,0.09,1.45,1.54,0.89,1.63,0.86,169.39,103.97,1.54,0.06,433.0,0.105,0.63
53,4576.0,23.69,7.43,31.12,1.51,4.92,2.12,350.0,71.0,31.1,0.76,438.0,11.1745283,0.7240000000000001
54,4600.0,18.07,6.8,24.87,1.3,5.23,1.94,351.0,67.0,24.9,0.73,441.0,9.31443299,1.36
55,1914.0,0.14,6.39,6.53,0.42,15.225,1.74,367.5,24.14,0.02,6.53,420.0,0.08,0.4
56,3344.0,0.09,0.24,0.33,0.45,0.533333333,0.56,42.85714286,80.35714286,0.3,0.272727273,429.0,0.16071428599999998,0.56
57,3971.0,7.24,7.79,0.84,8.62,0.903712297,201.0,3.875621891,4.288557214,0.07,0.48170326,416.0,0.0360199,0.32
58,3557.0,0.04,0.03,0.07,0.38,0.08,0.06,50.0,633.0,0.1,0.57,323.0,0.666666667,-1.3459999999999999
59,2013.0,0.14,5.17,5.31,0.42,12.31,1.65,312.58,25.39,5.31,0.03,421.0,0.085,0.42
60,4818.0,0.23,0.37,0.31,0.74,0.5,92.0,0.402173913,0.804347826,0.38,0.38333333299999994,428.0,0.0025,0.54
61,4672.0,0.08,0.08,0.16,0.13,0.62,0.14,57.0,93.0,0.2,0.5,300.0,0.571428571,-1.76
62,4450.0,33.15,12.14,45.29,1.33,9.13,2.15,565.0,62.0,45.3,0.73,441.0,15.41860465,0.778
63,2991.0,0.08,1.21,1.29,0.44,2.75,0.63,192.37,69.95,1.29,0.06,433.0,0.127,0.63
64,1815.0,0.28,17.85,18.13,0.53,33.6754717,3.88,459.76,13.65,0.02,18.13,421.0,0.07200000000000001,0.42
65,4282.0,2.5,3.2,5.7,1.03,3.11,2.24,143.0,46.0,5.7,0.44,453.0,1.116071429,0.9940000000000001
66,2883.0,0.1,2.1,2.2,0.53,3.96,0.94,223.64,56.44,2.2,0.05,432.0,0.106,0.62
67,2013.0,0.14,5.17,5.31,0.42,12.30952381,1.65,312.58,25.39,0.03,5.31,421.0,0.085,0.42
68,1944.0,0.18,12.42,12.6,0.59,21.05694915,2.27,547.54,26.0,0.01,12.6,418.0,0.079,0.36
69,2037.0,0.13,5.31,5.44,0.59,9.0,1.84,289.37,32.15,5.44,0.02,425.0,0.071,0.49
70,2103.0,0.12,16.58,16.7,0.37,44.81,2.47,672.07,15.0,16.7,0.01,418.0,0.049,0.36
71,3012.0,0.06,1.08,1.14,0.34,3.18,0.52,206.9,65.13,1.14,0.05,431.0,0.115,0.6
72,3380.0,0.57,0.73,0.3,1.9,0.384210526,79.0,0.924050633,2.405063291,0.22,0.438461538,390.0,0.00721519,0.13
73,1790.0,0.23,16.64,16.87,0.64,26.004375,3.94,422.73,16.26,0.01,16.87,417.0,0.057999999999999996,0.35
74,1680.0,0.21,14.99,15.2,0.63,23.79,3.38,443.75,18.65,15.2,0.01,419.0,0.062,0.38
75,4396.0,29.75,14.61,44.36,1.71,8.54,2.52,580.0,68.0,44.4,0.67,443.0,11.80555556,0.8140000000000001
76,3470.0,0.09,0.4,0.49,0.24,3.33,0.59,68.0,20.0,0.5,0.18,435.0,0.152542373,0.67
77,1887.0,0.18,6.43,6.61,0.5,12.86,1.63,393.56,30.6,6.61,0.03,417.0,0.11,0.35
78,3272.0,0.31,0.9,1.21,2.22,0.41,0.43,63.0,156.0,1.2,0.26,428.0,0.7209302329999999,0.544
79,3140.0,0.25,1.34,1.59,0.81,1.654320988,1.37,97.81021898,59.12408759,1.6,0.157232704,426.0,0.182481752,0.51
80,3770.0,0.29,1.83,2.12,0.85,2.15,0.87,209.62,97.37,2.12,0.14,433.0,0.331524818,0.63
81,4236.0,2.92,3.46,6.38,1.54,2.25,3.82,91.0,40.0,6.4,0.46,444.0,0.7643979059999999,0.82
82,3326.0,0.66,6.14,6.8,0.4,15.35,2.38,258.0,17.0,6.8,0.1,432.0,0.27731092399999996,0.616
83,3434.0,0.04,0.05,0.09,0.2,0.31,0.38,13.0,42.0,0.1,0.44,356.0,0.10526315800000001,-0.752
84,3012.0,0.06,1.08,1.14,0.34,3.176470588,0.52,206.9,65.13,0.05,1.14,431.0,0.115,0.6
85,3904.0,0.6,0.41,1.01,0.65,0.63,0.31,132.0,210.0,1.0,0.59,417.0,1.935483871,0.34600000000000003
86,4642.0,21.81,8.98,30.79,1.51,5.95,1.92,468.0,79.0,30.8,0.71,439.0,11.359375,0.742
87,2934.0,0.09,1.7,1.79,0.29,5.862068966,0.68,248.9,42.46,0.05,1.79,431.0,0.132,0.6
88,1962.0,0.21,13.89,14.1,0.48,28.93,2.2,632.01,21.85,14.1,0.01,413.0,0.095,0.27
89,3581.0,0.02,0.04,0.06,0.33,0.12,0.01,400.0,3300.0,0.1,0.33,323.0,2.0,-1.3459999999999999
90,3773.0,0.05,0.08,0.53,0.09,0.8888888890000001,36.0,0.222222222,0.25,0.5,0.384615385,407.0,0.001388889,0.16
91,1983.0,0.17,9.22,9.39,0.62,14.87419355,2.21,418.04,28.11,0.02,9.39,417.0,0.077,0.35
92,2148.0,0.18,6.43,6.61,0.32,20.09375,1.36,472.1,23.49,0.03,6.61,418.0,0.132,0.36
93,3898.0,0.2,0.09,0.29,0.64,0.14,0.2,45.0,320.0,0.3,0.69,381.0,1.0,-0.302
94,3380.0,0.16,0.57,0.73,0.3,1.9,0.72,79.0,42.0,0.7,0.22,436.0,0.222222222,0.688
95,2103.0,0.12,16.58,16.7,0.37,44.81081081,2.47,672.07,15.0,0.01,16.7,418.0,0.049,0.36
96,2151.0,0.18,6.04,6.22,0.36,16.77777778,1.35,448.4,26.73,0.03,6.22,418.0,0.133,0.36
97,2850.0,1.56,5.22,6.78,0.57,9.16,1.68,310.34,33.89,6.78,0.23,434.0,0.928599705,0.65
98,2040.0,0.11,4.0,4.11,0.5,8.0,1.42,280.9,35.11,0.03,4.11,424.0,0.077,0.47
99,3452.0,0.03,0.03,0.06,0.14,0.2,0.32,9.0,47.0,0.1,0.5,357.0,0.09375,-0.7340000000000001
100,2031.0,0.13,5.91,6.04,0.46,12.84782609,1.58,373.58,29.08,0.02,6.04,426.0,0.08199999999999999,0.51
101,2871.0,0.11,1.4,1.51,0.47,2.98,0.76,184.21,61.84,1.51,0.07,433.0,0.145,0.63
102,4623.0,0.08,0.27,0.13,0.62,0.435483871,40.0,0.675,1.55,0.7,0.228571429,342.0,0.002,1.0
103,3980.0,0.91,2.52,1.16,0.78,3.230769231,118.0,2.13559322,0.661016949,0.64,0.265306122,416.0,0.0077118640000000006,0.33
104,4111.0,0.57,2.0,0.66,0.86,2.325581395,110.0,1.8181818180000002,0.7818181820000001,0.71,0.22178988300000002,420.0,0.0051818179999999995,0.39
105,3416.0,0.06,0.08,0.14,0.21,0.85,0.38,7.0,55.0,0.1,0.43,390.0,0.15789473699999998,-0.14
106,3446.0,0.03,0.04,0.07,0.17,0.29,0.34,12.0,41.0,0.1,0.43,425.0,0.088235294,0.49
107,2046.0,0.1,3.1,3.2,0.46,6.739130435,1.13,274.58,40.74,0.03,3.2,423.0,0.08800000000000001,0.45
108,1780.0,0.17,8.04,8.21,0.54,14.89037037,2.63,306.2,20.56,0.02,8.21,425.0,0.065,0.49
109,4588.0,19.14,8.15,27.29,1.48,5.51,1.8,453.0,82.0,27.7,0.7,443.0,10.63333333,0.8140000000000001
110,1890.0,0.2,6.94,7.14,0.58,11.96,1.79,388.18,32.46,0.03,7.14,418.0,0.11199999999999999,0.36
111,1887.0,0.18,6.43,6.61,0.5,12.8616,1.63,393.56,30.6,0.03,6.61,417.0,0.11,0.35
