Depth,S1,S2,S1 + S2,S3,S2/S3,TOC,HI,OI,PP,PI,Tmax,S1/TOC,Ro,classes
1673,0.2,13.06,13.26,0.67,19.49850746,3.46,377.79,19.38,0.02,13.26,422,0.058,0.44,Excellent/Very Good
1680,0.21,14.99,15.2,0.63,23.79365079,3.38,443.75,18.65,0.01,15.2,419,0.062,0.38,Excellent/Very Good
1690,0.2,13.39,13.59,0.7,19.12285714,3.16,423.88,22.17,0.01,13.59,420,0.063,0.4,Excellent/Very Good
1700,0.19,14.36,14.55,0.65,22.09415385,3.91,367.58,16.64,0.01,14.55,422,0.049,0.44,Excellent/Very Good
1710,0.14,15.73,15.87,0.85,18.50588235,4.07,386.96,20.91,0.01,15.87,421,0.034,0.42,Excellent
1720,0.21,13.21,13.42,0.69,19.14666667,3.83,345.03,18.02,0.02,13.42,422,0.055,0.44,Excellent/Very Good
1730,0.22,15.25,15.47,0.73,20.89534247,3.87,394.66,18.89,0.01,15.47,421,0.057,0.42,Excellent/Very Good
1740,0.24,17.88,18.12,0.7,25.54285714,4.08,438.67,17.17,0.01,18.12,421,0.059,0.42,Excellent
1750,0.22,13.97,14.19,0.57,24.50105263,3.76,371.23,15.15,0.02,14.19,422,0.059,0.44,Excellent/Very Good
1760,0.16,9.95,10.11,0.57,17.4477193,2.6,382.65,21.93,0.02,10.11,423,0.062,0.45,Excellent/Very Good
1770,0.18,16.45,16.63,0.71,23.16901408,3.8,432.44,18.66,0.01,16.63,420,0.047,0.4,Excellent/Very Good
1780,0.17,8.04,8.21,0.54,14.89037037,2.63,306.2,20.56,0.02,8.21,425,0.065,0.49,Very Good/Poor
1790,0.23,16.64,16.87,0.64,26.004375,3.94,422.73,16.26,0.01,16.87,417,0.058,0.35,Excellent/Very Good
1800,0.31,21.73,22.04,0.7,31.04342857,4.11,528.85,17.04,0.01,22.04,417,0.075,0.35,Excellent
1804,0.64,5.24,5.88,3.35,1.564179104,1.03,506.77,323.98,0.11,5.88,437,0.621,0.71,Good/Good
1806,0.4,33.64,34.04,0.71,47.38647887,6.27,536.34,11.32,0.01,34.04,418,0.064,0.36,Excellent
1809,0.32,26.62,26.94,0.71,37.49971831,4.94,539.18,14.38,0.01,26.94,420,0.065,0.4,Excellent
1812,0.25,17.74,17.99,0.58,30.58206897,3.67,483.05,15.8,0.01,17.99,421,0.068,0.42,Excellent/Very Good
1815,0.28,17.85,18.13,0.53,33.6754717,3.88,459.76,13.65,0.02,18.13,421,0.072,0.42,Excellent/Very Good
1818,0.3,21.33,21.63,0.58,36.76827586,4.3,495.48,13.48,0.01,21.63,421,0.07,0.42,Excellent
1821,0.26,15.69,15.95,0.51,30.75686275,3.48,451.27,14.67,0.02,15.95,422,0.075,0.44,Excellent/Very Good
1824,0.19,15.93,16.12,0.51,31.23529412,3.42,466.33,14.93,0.01,16.12,419,0.056,0.38,Excellent/Very Good
1827,0.2,10.65,10.85,0.5,21.3072,2.74,388.25,18.22,0.02,10.85,422,0.073,0.44,Excellent/Very Good
1830,0.22,10.3,10.52,0.48,21.46666667,2.67,386.06,17.98,0.02,10.52,422,0.082,0.44,Excellent/Very Good
1833,0.15,11.55,11.7,0.7,16.5,2.77,416.37,25.23,0.01,11.7,422,0.054,0.44,Excellent/Very Good
1836,0.19,10.39,10.58,0.53,19.59773585,2.49,416.81,21.27,0.02,10.58,422,0.076,0.44,Excellent/Very Good
1839,0.2,11.35,11.55,0.54,21.0237037,2.81,403.87,19.21,0.02,11.55,421,0.071,0.42,Excellent/Very Good
1842,0.22,15.66,15.88,0.54,28.99703704,3.36,465.47,16.05,0.01,15.88,420,0.065,0.4,Excellent/Very Good
1845,0.23,19.52,19.75,0.6,32.53733333,4.04,483.23,14.85,0.01,19.75,417,0.057,0.35,Excellent
1848,0.32,20.14,20.46,0.68,29.61588235,4.03,500.22,16.89,0.02,20.46,417,0.079,0.35,Excellent
1851,0.26,19.89,20.15,0.63,31.57206349,4.29,463.32,14.68,0.01,20.15,416,0.061,0.33,Excellent
1854,0.28,21.03,21.31,0.57,36.89684211,4.12,510.71,13.84,0.01,21.31,416,0.068,0.33,Excellent
1857,0.28,21.44,21.72,0.58,36.95862069,4.27,502.25,13.59,0.01,21.72,415,0.066,0.31,Excellent
1860,0.19,26.97,27.16,0.68,39.66176471,4.78,564.46,14.23,0.01,27.16,414,0.04,0.29,Excellent
1863,0.3,22.45,22.75,0.55,40.81454545,4.14,542.22,13.29,0.01,22.75,415,0.072,0.31,Excellent
1866,0.13,5.07,5.2,0.52,9.748461538,1.93,263.34,27.01,0.03,5.2,417,0.067,0.35,Good/Good
