,0
0,Excellent/Very Good
1,Very Good/Poor
2,Poor/Fair
3,Excellent/Very Good
4,Poor/Fair
5,Poor/Fair
6,Poor to Fair/Excellent
7,Good/Good
8,Poor to Fair/Excellent
9,Excellent/Very Good
10,Excellent/Very Good
11,Poor to Fair/Excellent
12,Very Good/Poor
13,Poor/Fair
14,Fair
15,Poor
16,Poor/Fair
17,Poor/Fair
18,Excellent
19,Excellent/Good
20,Excellent/Very Good
21,Excellent/Good
22,Poor
23,Poor to Fair/Excellent
24,Good/Good
25,Poor/Fair
26,Fair
27,Excellent/Very Good
28,Poor
29,Excellent/Good
30,Very Good/Poor
31,Fair
32,Poor/Fair
33,Poor to Fair/Excellent
34,Fair
35,Very Good/Poor
36,Good/Good
37,Poor/Fair
38,Fair
39,Poor/Fair
40,Poor to Fair/Excellent
41,Fair/Good
42,Excellent
43,Very Good/Poor
44,Poor to Fair/Excellent
45,Very Good/Poor
46,Excellent/Good
47,Excellent/Very Good
48,Poor/Fair
49,Poor/Fair
50,Excellent/Very Good
51,Excellent/Very Good
52,Poor/Fair
53,Excellent/Very Good
54,Excellent/Good
55,Very Good/Poor
56,Poor/Fair
57,Poor to Fair/Excellent
58,Poor
59,Good/Good
60,Poor to Fair/Excellent
61,Poor
62,Excellent/Very Good
63,Poor/Fair
64,Excellent/Very Good
65,Good/Very Good
66,Fair
67,Good/Good
68,Excellent/Very Good
69,Good/Good
70,Excellent/Very Good
71,Poor/Fair
72,Poor to Fair/Excellent
73,Excellent/Very Good
74,Excellent/Very Good
75,Excellent/Very Good
76,Poor/Fair
77,Very Good/Poor
78,Poor
79,Poor/Good
80,Fair
81,Very Good/Poor
82,Very Good/Poor
83,Poor
84,Poor/Fair
85,Poor
86,Excellent/Good
87,Poor/Fair
88,Excellent/Very Good
89,Poor
90,Poor to Fair/Excellent
91,Very Good/Poor
92,Very Good/Poor
93,Poor
94,Poor/Fair
95,Excellent/Very Good
96,Very Good/Poor
97,Very Good/Poor
98,Good/Good
99,Poor
100,Very Good/Poor
101,Poor/Fair
102,Poor to Fair/Excellent
103,Poor to Fair/Excellent
104,Poor to Fair/Excellent
105,Poor
106,Poor
107,Fair/Good
108,Very Good/Poor
109,Excellent/Good
110,Very Good/Poor
111,Very Good/Poor
112,Fair
113,Poor/Fair
114,Poor to Fair/Excellent
115,Poor/Fair
116,Poor
117,Poor to Fair/Excellent
118,Poor/Fair
119,Poor
120,Poor to Fair/Excellent
121,Poor to Fair/Excellent
122,Poor/Fair
123,Poor
124,Poor
125,Poor to Fair/Excellent
126,Fair
127,Good/Good
128,Excellent/Good
129,Poor/Fair
130,Excellent
131,Excellent
132,Excellent/Very Good
133,Poor
134,Very Good/Poor
135,Excellent/Good
136,Poor
137,Poor to Fair/Excellent
138,Fair/Good
139,Very Good/Poor
140,Poor/Fair
141,Excellent/Good
142,Poor
143,Fair
144,Poor/Fair
145,Excellent/Very Good
146,Excellent/Very Good
147,Excellent/Very Good
148,Poor/Fair
149,Excellent/Very Good
150,Poor to Fair/Excellent
151,Poor to Fair/Excellent
152,Poor to Fair/Excellent
153,Poor/Fair
154,Poor/Fair
155,Poor to Fair/Excellent
156,Very Good/Excellent
157,Excellent/Very Good
158,Excellent/Very Good
159,Fair/Good
160,Excellent
161,Excellent/Good
162,Poor/Fair
163,Excellent/Very Good
164,Excellent/Very Good
165,Poor/Fair
166,Excellent
167,Poor/Fair
168,Very Good/Poor
169,Fair
170,Poor/Fair
171,Fair/Good
172,Excellent/Very Good
173,Very Good/Poor
174,Excellent
175,Good/Good
176,Poor to Fair/Excellent
177,Poor
