Depth,S1,S2,S3,TOC,PP,Tmax,classes
1673,0.2,13.06,0.67,3.46,0.02,422,Excellent/Very Good
1680,0.21,14.99,0.63,3.38,0.01,419,Excellent/Very Good
1690,0.2,13.39,0.7,3.16,0.01,420,Excellent/Very Good
1700,0.19,14.36,0.65,3.91,0.01,422,Excellent/Very Good
1710,0.14,15.73,0.85,4.07,0.01,421,Excellent
1720,0.21,13.21,0.69,3.83,0.02,422,Excellent/Very Good
1730,0.22,15.25,0.73,3.87,0.01,421,Excellent/Very Good
1740,0.24,17.88,0.7,4.08,0.01,421,Excellent
1750,0.22,13.97,0.57,3.76,0.02,422,Excellent/Very Good
1760,0.16,9.95,0.57,2.6,0.02,423,Excellent/Very Good
1770,0.18,16.45,0.71,3.8,0.01,420,Excellent/Very Good
1780,0.17,8.04,0.54,2.63,0.02,425,Very Good/Poor
1790,0.23,16.64,0.64,3.94,0.01,417,Excellent/Very Good
1800,0.31,21.73,0.7,4.11,0.01,417,Excellent
1804,0.64,5.24,3.35,1.03,0.11,437,Good/Good
1806,0.4,33.64,0.71,6.27,0.01,418,Excellent
1809,0.32,26.62,0.71,4.94,0.01,420,Excellent
1812,0.25,17.74,0.58,3.67,0.01,421,Excellent/Very Good
1815,0.28,17.85,0.53,3.88,0.02,421,Excellent/Very Good
1818,0.3,21.33,0.58,4.3,0.01,421,Excellent
1821,0.26,15.69,0.51,3.48,0.02,422,Excellent/Very Good
1824,0.19,15.93,0.51,3.42,0.01,419,Excellent/Very Good
1827,0.2,10.65,0.5,2.74,0.02,422,Excellent/Very Good
1830,0.22,10.3,0.48,2.67,0.02,422,Excellent/Very Good
1833,0.15,11.55,0.7,2.77,0.01,422,Excellent/Very Good
1836,0.19,10.39,0.53,2.49,0.02,422,Excellent/Very Good
1839,0.2,11.35,0.54,2.81,0.02,421,Excellent/Very Good
1842,0.22,15.66,0.54,3.36,0.01,420,Excellent/Very Good
1845,0.23,19.52,0.6,4.04,0.01,417,Excellent
1848,0.32,20.14,0.68,4.03,0.02,417,Excellent
1851,0.26,19.89,0.63,4.29,0.01,416,Excellent
1854,0.28,21.03,0.57,4.12,0.01,416,Excellent
1857,0.28,21.44,0.58,4.27,0.01,415,Excellent
1860,0.19,26.97,0.68,4.78,0.01,414,Excellent
1863,0.3,22.45,0.55,4.14,0.01,415,Excellent
1866,0.13,5.07,0.52,1.93,0.03,417,Good/Good
1869,0.14,5.5,0.53,1.94,0.02,417,Good/Good
1872,0.12,4.27,0.61,1.43,0.03,420,Good/Good
1875,0.12,3.93,0.54,1.41,0.03,419,Good/Good
1878,0.13,4.41,0.48,1.44,0.03,419,Good/Good
1881,0.15,12.34,0.7,2.32,0.01,418,Excellent/Very Good
1884,0.14,7.46,0.51,1.64,0.02,419,Very Good/Poor
1887,0.18,6.43,0.5,1.63,0.03,417,Very Good/Poor
1890,0.2,6.94,0.58,1.79,0.03,418,Very Good/Poor
1893,0.15,9.14,0.45,1.76,0.02,417,Very Good/Poor
